lyrics,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo,valence,explicit
"You need a path to cross  
Into a place where everyone you see  
Has had a time to try to Play!  
  
If you go get shot  
When you'll be what you name  
Protector of your gun  
Everyone plays with your gun  
  
Way, way, way, way  
Everyone wants to try to gun you gun you down in pain  
Want to see you try to play  
I want to describe you  
Put your name as a national woman  
I don't like your coffee  
I want to have your friendship  
As a jock, and to the top  
  
Way, way, way, way

",0.000337,0.321,0.973,0.744,-1.996,0.076,152.033,0.426,False
"The night was black with thunder  
The streets were wet with rain  
Another day goes under  
A little bourbon will take the strain  
And I'm waiting for my take-home French fries  
She smiled and said 'take me away'  
We always laughed but I think she means it  
But I'm dreaming my life away  
Loving you  
Loving you the way that I do  
  
The weekend cars are leaving  
In a spray of wind and sound  
The bar-talk, make believing  
And the drinks go easy down  
It's back to the all-night take-away  
She says 'Here comes the man of my dreams'  
We always laugh but I think she means it  
And I'm spending my time  
Just loving you  
Loving you the way that I do

",0.0796,0.6,0.616,3.56e-05,-8.693,0.0286,112.935,0.326,False
"This is the window to my heart  
I just want you to be free  
There ain't no freedom where we are  
Ain't no wishes in these stars  
  
Ain't no reason to believe  
But don't worry baby  
Don't you worry  
Maybe this is what we need  
  
A little bruising, a little bleeding  
Some space that we can breathe in  
Some silence in between  
  
[Chorus]  
So cry for me baby, and I'll cry for you  
And we'll both break down and we'll both break through  
We'll find our way and we'll face the truth  
We both will be stronger  
And we'll lie down in our loneliness  
And wake up with our sad regrets  
Even though we don't know it yet  
We both will be stronger  
We both will be stronger  
  
I can't believe you're really gone now  
But I know it's for the best  
And I know that we weren't right  
But I still reach for you each night  
And man that hurts like hell  
  
[Chorus]  
  
So Baby  
  
[Chorus]  
  
This is the window to my heart  
I just want us to be free  
Baby I'm sorry for the way things are  
Goodbye is always hard  
And we both will be stronger

",0.493,0.517,0.496,0.0,-6.172,0.0452,135.216,0.281,False
"I keep singing the same old song  
Like I did before  
When you left me  
You left me in darkness  
I'd never known before  
I was restless  
A fool for your time  
Waiting 'round for you to call  
But now I've found me  
An angel of mercy  
I don't feel bad at all  
  
Your body was honey  
I tasted a lot  
But let me tell you babe  
I need more than you got  
I want someone to hold me  
An' keep me satisfied  
I need love  
  
I've got nothing to do  
Ain't got nothing to say  
Just live your life  
The way you know  
When you moved on  
You took all the sweetness  
Was I a fool to let you go  
With the woman I forget for the moment  
All the times we knew before  
Tho I'm still singing  
The same old love song  
I don't want you knocking on my door

",0.00173,0.629,0.572,0.0617,-14.438,0.0353,98.43,0.643,False
"There were times I knew  
But I found it hard to say  
You were special in my life  
Never thought you'd go away  
  
I'll be strong  
I'll get by  
Without you in my life  
I can see  
Through your lies  
Did you ever love me  
I never found your love  
You and I know  
Love is leaving  
And you don't want me anymore  
Why should I  
Even try  
You and I know  
Love is leaving  
Now you're the last thing on my mind  
Someone else  
I will find  
A memory I've left behind  
  
If I ever made you cry  
Any reason I can't find  
It was lonely by your side  
Like a fool, I stood by you  
  
I'll be strong  
I'll get by  
Without you in my life  
I can see  
Through your lies  
Did you ever love me  
I never found your love  
You and I know  
Love is leaving  
And you don't want me anymore  
Why should I  
Even try  
You and I know  
Love is leaving  
Now you're the last thing on my mind  
Someone else  
I will find  
A memory I've left behind  
  
Is there something I could do  
Is there something I should say  
Is there someone else to keep you from  
And now  
(Whoa, whoa, yeah, yeah yeah-yeah-yeah)  
  
You and I know  
Love is leaving  
And you don't want me anymore  
Why should I  
Even try  
You and I know  
Love is leaving  
Now you're the last thing on my mind  
Someone else  
I will find  
A memory I've left behind  
You and I know  
Love is leaving  
And you don't want me anymore  
Why should I  
Even try  
You and I know  
Love is leaving  
Now you're the last thing on my mind  
Why should I  
Even try

",0.326,0.472,0.327,0.0,-14.799,0.0346,105.679,0.728,False
"I don't believe you know me,  
Although you know my name,  
I don't believe the thoughts I have  
Are only mine to blame  
  
I don't believe the magic,  
Is only in the mind,  
I don't believe I'd love somebody just to pass the time  
  
But I believe in you,  
I believe in you...  
  
I don't believe that beauty,  
Will ever be replaced,  
I don't believe a masterpiece could ever match a face  
  
The joker's always smiling,  
In every hand that's dealt,  
And don't believe that when you die  
Your presence isn't found  
  
But I believe in you  
I believe in you  
But I believe in you  
I believe in you...  
  
And if you ever had to go away  
Nothing in my world could ever be the same,  
Nothing lasts forever but together till then  
I'll give you everything I ever get and again  
  
'Cause I believe in you, I believe in,  
I believe in you, I believe in,  
[Repeat]  
  
But I believe in you,  
I believe in you  
[Repeat]  
  
I believe in you, I believe in [Repeat x 4]  
  
I believe, I believe, I believe... in... you.

",0.00277,0.548,0.785,0.048,-5.087,0.0704,120.939,0.418,False
"You don't know how bad it's been  
Since you been gone  
Let me tell you how bad it's been  
Since you been gone  
People speak but I don't hear  
Things all around seem to be unclear  
I don't know  
What will become of the love you turned off  
What will become of the need you turned off  
  
Loneliness is just a word  
That's very cold  
People stare but they don't see  
All of the hurt that's inside me  
I don't know

",0.0125,0.303,0.725,4.93e-05,-11.963,0.333,177.219,0.358,False
 na na na na na oh na na na na na oh na na na na na oh na na na na na oh been trying to let it go trying to keep my eyes closed trying to keep it just like before the times we never even thought to speak don t wanna tell you what it is oh wee it felt so serious got me thinking just too much i wanna set it off but it s this 1 thing that s got me trippin it s this 1 thing that s got me trippin this 1 thing my soul may be feeling it s this 1 thing you did oh oh it s this 1 thing that caught me slippin it s this 1 thing i want to admit it this 1 thing and i was so with it it s this 1 thing you did oh oh hey we don t know each other well so why i keep pickin up my cell memories just keep ringing bells oh oh oh oh oh hear voices i don t want to understand my car keys are jingling in my hand my high heels are clicking towards your door oh oh oh oh oh it s this 1 thing that s got me trippin it s this 1 thing that s got me trippin this 1 thing my soul may be feeling it s this 1 thing you did oh oh it s this 1 thing that caught me slippin it s this 1 thing i want to admit it this 1 thing and i was so with it it s this 1 thing you did oh oh maybe i just can t believe it it s this one thing you did oh oh i can t deny tired of trying nothin left to do but to keep on seein you i m hoping you can keep a secret for me for me for me but what you did yeah it s this 1 thing that s got me trippin it s this 1 thing that s got me trippin this 1 thing my soul may be feeling it s this 1 thing you did oh oh it s this 1 thing that caught me slippin it s this 1 thing i want to admit it this 1 thing and i was so with it it s this 1 thing you did oh oh oh oh oh oh oh oh oh oh oh oh oh oh na na na na na oh oh na na na na na oh na na na na na oh na na na na na oh na na na na na it s this 1 thing that s got me trippin it s this 1 thing that s got me trippin this 1 thing my soul may be feeling it s this 1 thing you did oh oh it s this 1 thing that caught me slippin it s this 1 thing i want to admit it this 1 thing and i was so with it it s this 1 thing you did oh oh it s this 1 thing that s got me trippin it s this 1 thing that s got me trippin this 1 thing my soul may be feeling it s this 1 thing you did oh oh it s this 1 thing that caught me slippin it s this 1 thing i want to admit it this 1 thing and i was so with it it s this 1 thing you did oh oh,0.115,0.636,0.946,3.75e-05,-4.683,0.332,125.085,0.8909999999999999,False
"Joy to the world  
The Lord has come  
Let earth receive her king  
Let every heart prepare Him room  
And Heaven and nature sing  
And Heaven and nature sing  
And Heaven, and Heaven and nature sing  
  
Joy to the world  
The Savior reigns  
Let men their songs employ  
While fields and floods  
Rocks, hills, and plains  
Repeat the sounding joy  
Repeat the sounding joy  
Repeat, repeat the sounding joy  
Repeat, repeat the sounding joy  
  
He rules the world  
With truth and grace  
And makes the nations prove  
The glories of His righteousness  
And wonders of His love  
And wonders of His love  
And wonders and wonders  
Of His love

",0.654,0.323,0.722,0.0,-4.59,0.0465,127.505,0.337,False
"The Chinese have a saying: ""Dangerous men will meet in our streets.""  
And so it was. We were raised between the clans,  
And that meant pressure on me to make more weapons.  
And as word of the gold shipment spread,  
Strangers suddenly appeared in jungle village  
  
Ay yo, ay yo, Machete still stainless  
The archbishop run from the Knox  
A Chris biscuit plus play the heart, wrists glisten  
Goon captain, catch me in Africa black down with 4 5 Somalians  
Black Tims, rubber suit Wonder Woman, bangers a blue coupe  
I'm usually upon the roof countin' mad loot  
Root beer reefer, teeth frame, doin' my 1, 2  
Smokin' with a plain Jane trooper  
Excellent with rifles, out in Japan  
In a flight goons switchblade poke out the night boots ?  
Thrusted on a bullet train with chains on, gettin' my train on  
Thunder money, make bread, brainstorm  
All this is made for the Forbes list  
Broads get pissed, say ""Yo he fucked me out his drawers he dissed me""  
All this is calculated, the Batman with a black hand  
Mafia money, killas who rock tans(?)  
  
Bone crushing, smooth kicks, blades choppin', move ? bricks  
Masters of the weaponry, sells to both cliques  
Blacksmith, with the iron fist  
  
Bone crushing, smooth kicks, blades choppin', move ? bricks  
Masters of the weaponry, sells to both cliques  
Blacksmith, with the iron fist  
  
Rigamortus, I watch the body rot to the bone structure  
Scrape out your brain, watch your eyeballs rupture  
Black magic, leave your fuckin' skull in a soup pot  
Makaveli, Vamoose like 2pac  
Suicidal tendencies, down to white Hennessy  
Look in the book, I'm the definition of menace b  
Chokin' niggas out for no reason, it's duck season  
I'm cold as ice, 6 degrees below freezing  
Stay dipped, rock a striped shirt like Freddy Kreuger  
You'se a baby piranha surrounded by barracudas  
Seven thirty, I'm more like 6 o' clock  
Straight up and down beatin' up niggas till there's blood in they socks  
Ox em, duff em', stuff 'em in black bags  
Without gettin' no blood on my fresh rags  
Ruthless, heart of a stone, grown with no emotions  
I piss out brewhas, poisonous potion  
  
Bone crushing, smooth kicks, blades choppin', move ? bricks  
Masters of the weaponry, sells to both cliques  
Blacksmith, with the iron fist  
  
Yeah, it's the three deadly venoms with weapons in the denims  
Shit that'll shake windows and break lay tenants  
Left field, aim crooked and straight blaze in em  
Have you niggas with straight-legs with a fake leg in em  
Wolf in sheep's clothing, eyes scoping a tender lamb  
Spin you bitches like a ballroom dinner dance  
G-Mode dress code got suspender clamps  
Russian roulette, money bet, go and spend your chance  
You little fleas get killa bees and army ants  
EMS cut up your jeans like zombie pants  
Hollow chrome to your collarbone  
Ping against your dome piece and sound like the first key on a xylophone  
Grown men discussing death and the malice tone  
See how quick the smiley faces turn solid stone  
Ghostface, Rae and G be the wildest known  
We straight street, we keep seats in the palace throne  
  
Bone crushing, smooth kicks, blades choppin', move ? bricks  
Masters of the weaponry, sells to both cliques  
Blacksmith, with the iron fist

",0.00619,0.617,0.887,0.00186,-5.857,0.293,94.084,0.21,True
"We'd like to introduce you to the nature of our trials  
We'd love the chance to bring your elders down  
So fix your Dad a drink 'cause we're gonna need to think  
Now you're a plane we won't need them around anymore  
  
We done a lot of dumb things now, sure hope we do some more  
And we'll wait all summer just to piss on your door  
The wing commander's sister is a golden haired surprise  
I can't walk far but I can shoot for miles  
  
And my radar can see anyone over thirteen  
Now you're grown up we don't need you around anymore  
We done a lot of dumb things now, sure hope we do some more  
It's the last summer so in our dust you will crawl

",7.07e-05,0.264,0.93,0.00026,-7.675,0.127,146.917,0.612,False
"Some folks' lives roll easy as a breeze  
Drifting through a summer night  
Heading for a sunny day  
But most folks' lives, oh they stumble  
  
Lord they fall  
Through no fault of their own  
Most folks never catch their stars  
  
And here I am, Lord  
I'm knocking at your place of business  
I know I ain't got no business here  
But you said if I ever got so low  
I was busted,  
You could be trusted  
  
Some folks' lives roll easy  
Some folks' lives  
Never roll at all  
Oh, they just fall  
They just fall  
Some folks' lives

",0.838,0.46,0.215,2e-06,-13.465,0.0302,110.384,0.0848,False
"Before I die I'll write this letter  
Here are the secrets you must know  
Until the cloak of evening shadow  
Changes to mantle of the dawn  
Will it be sunny then I wonder'  
Rolling and turning  
How can I sleep'  
Hold on till morning  
What if I fall'  
  
Over the hills and down the valleys  
Soaring aloft and far below  
Lying on stony ground the fragments  
Truth is the seed we tried to sow  
Marking the time spent on our journey  
There isn't much we have to show  
Counting the cost in money only  
Strikes me as funny don't you know'  
Tongue tied the thread of conversation  
Weighing the words one tries to use  
Nevertheless communication  
This is the gift you must not lose  
Hauling me always are the voices  
  
Tell us are you ready now'  
Sometimes I wonder if they're real  
We're ready to receive you now  
Or is it my own imagination'  
Have you any more to say'  
Guilt is a wound that's hard to heal  
It's a cross you have to bear  
Could it be evil thoughts become me  
Tell us what you're thinking now  
Some things are better left unsaid  
  
Magical moment  
The spell it is breaking  
There is no light here  
Is there no key

",0.707,0.389,0.478,0.00645,-7.632,0.0362,132.723,0.106,False
"I'll take a nicotine, caffeine, sugar fix  
Jesus don't ya git tired of turnin' tricks  
But when your innocence dies  
You'll find the blues  
Seems all our heroes were born to lose  
Just walkin' through time  
You believe this heat  
Another empty house another dead end street  
Gonna rest my bones an sit for a spell  
This side of heaven this close to Hell  
  
Right next door to hell  
Why don't you write a letter to me yeah  
I said I'm right next door to hell  
An so many eyes are on me  
Right next door to hell  
I got nowhere else to be  
Right next door to hell  
Feels like the walls are closing in on me  
  
My mamma never really said much to me  
She was much too young and scared ta be  
Hell ""Freud"" might say that's what I need  
But all I really ever get is greed  
An most my friends they feel the same  
Hell we don't even have ourselves to blame  
But times are hard and thrills are cheaper  
As your arms get shorter  
Your pockets get deeper  
  
Right next door to hell  
Why don't you write a letter to me yeah  
I said I'm right next door to hell  
An so many eyes are on me  
Right next door to hell  
I never thought this is where I'd be  
Right next door to hell  
Thinkin' time'll stand still for me  
  
Fuck you  
Bitch  
  
Not bad kids just stupid ones  
Yeah we thought we'd own the world  
An gettin' used was havin' fun  
I said we're not sad kids just lucid ones yeah  
Flowin' through life not collectin' anyone  
So much out there  
Still so much to see  
Time's too much to handle  
Time's too much for me  
It drives me up the walls  
Drives me out of my mind  
Can you tell me what this means...huh?

",0.0106,0.372,0.995,0.964,-4.45,0.171,100.95,0.131,True
"I met an old friend this morning  
And I stopped him and called him by name  
I said, ""The years haven't changed you  
But he said, ""Good Lord, how you've changed!""  
  
So we stood there and talked on the corner  
And remembered the good times we had  
Then he asked if we're happy together  
And I only smiled and I said  
  
""Yes, she keeps me off the streets  
And she keeps me out of trouble  
Sometimes at night, Lord, when I hear the wind  
I wish I was crazy again, yes, I wish I was crazy again""  
  
Then we stopped in at a tavern  
We had us a round or two  
We called ourselves old desperado's, old desperado's  
As old friends are likely to do  
  
We sat for a while and remembered  
Then he said, ""Let's have just one more""  
I said, ""I'd sure like to join you  
But best be goin' on home""  
  
""Yes, she keeps me off the streets  
She keeps me off the streets""

",0.244,0.645,0.479,7.76e-05,-13.283,0.109,111.615,0.53,False
"[Chorus]  
I'm the boy from the block, boy from the block block  
I'm the boy from the block, boy from the block block  
I'm the boy from the block, boy from the block block  
I'm the boy from the block, boy from the block block  
With the very large knots  
I'm the boy from the block, boy from the block block  
I'm the boy from the block, boy from the block block  
I'm the boy from the block, boy from the block block  
I'm the boy from the block, boy from the block block  
With the very large knots  
  
I pull up in that Spyder, strapped up like McGyver  
Should have brought my phantom na, but I'm mad at my driver  
He so fuckin' turnt up, ridin' on auto pilot smokin' kush and smilin',  
He drinkin' while he drivin'  
Gucci please excuse me , huh, all my goons got jewelry on 'em  
All my niggas booked up, paper they get it on there own  
I don't think you know me homie, I suggest you leave me alone  
I got so much jewelry on, that I think I need a clone  
I pull up to the traffic light, icy as a blood light  
Shinin' like a flash light I might damage ya eye sight  
Gucci got that real ice, don't it look real nice  
I don't want your girlfriend homie but my bitch might  
  
[Chorus]  
  
Now straight to the channel shop, that's how she shop  
500 for the flip flops cause they ain't Reebok  
I'm the boy from the block with the very large knots  
Gotta spot in the hood no sofa just pot  
I'm hot, so hot stand next, get shocked  
I got Caucasian neighbors that's just how I rock  
If you talkin' to me tell me somethin' that I wanna know  
If she ain't got no money know you gotta have some doe  
Then she ask me for a drank so I bought a bottle  
She was flexin' really hard, now she flexin' harder  
You a bitch, one more bitch, I only fuck with starters  
So if you ain't a dime piece, ain't no need to bother  
  
[Chorus]  
  
I want the money, I smell like a pocket full of hundreds  
A whole bag full of Kush I been buckin' since a youngin'  
I know you need a man right now because you strugglin'  
So if he isn't helpin' then there's no need for discussion  
In Houston Texas I can spend fifty thousand on a Monday  
I got fifty woman with me, fifty more that ain't comin'  
My pocket do the conversation make all the decisions  
I only fuck with bad bitches cause I'm very picky  
He cant buy a drink so he don't deserve ya digits  
I'm polar bear laflare, wrist and ear is very frigged  
My charm big as a midget  
I give yo ass the business  
So if you got yo swag right you know that you can get it

",0.0239,0.75,0.463,0.0,-8.018,0.159,152.869,0.222,True
